url	first_seen	portal	title	company	status
https://job-boards.eu.greenhouse.io/polyai/jobs/4802138101	2026-04-29	greenhouse-api	Agent Designer	PolyAI	added
https://job-boards.eu.greenhouse.io/polyai/jobs/4855037101	2026-04-29	greenhouse-api	Forward Deployed AI Engineer (Must be based in Toronto, Canada)	PolyAI	added
https://job-boards.eu.greenhouse.io/polyai/jobs/4796935101	2026-04-29	greenhouse-api	Forward Deployed AI Engineer (Must be PST timezone)	PolyAI	added
https://job-boards.greenhouse.io/anthropic/jobs/5161980008	2026-04-29	greenhouse-api	Account Executive, Beneficial Deployments (French Speaking)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5165651008	2026-04-29	greenhouse-api	Account Executive, Beneficial Deployments (Portuguese Speaking)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5165670008	2026-04-29	greenhouse-api	Account Executive, Beneficial Deployments (Spanish Speaking)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4948535008	2026-04-29	greenhouse-api	Account Executive, Mid Market - UKI	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5183044008	2026-04-29	greenhouse-api	Anthropic Fellows Program — AI Safety	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5030244008	2026-04-29	greenhouse-api	Anthropic Fellows Program — AI Security	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5183051008	2026-04-29	greenhouse-api	Anthropic Fellows Program — ML Systems & Performance	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5076109008	2026-04-29	greenhouse-api	Applied AI Architect	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5192805008	2026-04-29	greenhouse-api	Applied AI Architect, Commercial	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5065835008	2026-04-29	greenhouse-api	Applied AI Architect, Enterprise Tech	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5079540008	2026-04-29	greenhouse-api	Applied AI Architect, Federal Civilian	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5140405008	2026-04-29	greenhouse-api	Applied AI Architect, Government Technology	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4977624008	2026-04-29	greenhouse-api	Applied AI Architect, Industries	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5079511008	2026-04-29	greenhouse-api	Applied AI Architect, National Security	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5112493008	2026-04-29	greenhouse-api	Applied AI Architect, Partnerships	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5194007008	2026-04-29	greenhouse-api	Applied AI Architect, Public Sector	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5101433008	2026-04-29	greenhouse-api	Applied AI Architect, Security	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4968059008	2026-04-29	greenhouse-api	Applied AI Architect, Startups	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5140403008	2026-04-29	greenhouse-api	Applied AI Architect, State and Local Government	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5116927008	2026-04-29	greenhouse-api	Applied AI Claude Evangelist, Startups	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5055488008	2026-04-29	greenhouse-api	Applied AI Engineer	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5116274008	2026-04-29	greenhouse-api	Applied AI Engineer 	Anthropic	added
